id,created_at,author_id,in_reply_to_user_id,likert_scale_Q1
522,2024-06-22,2565,4287,1
4129,2024-06-22,2459,,5
4377,2024-06-22,4089,,5
3498,2024-06-22,8320,,1
9949,2024-06-22,783,,5
7958,2024-06-22,11724,,5
1365,2024-06-22,3040,,1
3620,2024-06-22,8858,,1
9089,2024-06-22,1110,,5
6600,2024-06-22,6077,,1
8746,2024-06-22,1110,,5
1376,2024-06-22,8681,,5
3015,2024-06-22,7604,,1
9068,2024-06-22,11091,,3
7425,2024-06-22,9156,,3
5587,2024-06-22,5275,,5
4017,2024-06-22,1762,,5
6740,2024-06-22,2019,,5
3252,2024-06-22,7858,,1
1801,2024-06-22,613,,3
7453,2024-06-22,8337,,1
3597,2024-06-22,11110,,1
9354,2024-06-22,1022,,1
6341,2024-06-22,10438,4287,1
739,2024-06-22,10470,,1
2776,2024-06-22,7487,,3
672,2024-06-22,9508,,5
8735,2024-06-22,10611,,5
6771,2024-06-22,11113,,1
1301,2024-06-22,1306,,1
2821,2024-06-22,11792,,5
447,2024-06-22,10070,,1
1742,2024-06-22,3176,,5
5608,2024-06-22,9107,,5
1933,2024-06-22,10512,,1
9889,2024-06-22,7448,,1
5275,2024-06-22,8653,,5
4090,2024-06-22,97,,5
8192,2024-06-22,9114,,5
2159,2024-06-22,8079,,5
9695,2024-06-22,6176,,5
3443,2024-06-22,2357,618,4
5336,2024-06-22,9399,,1
6558,2024-06-22,1068,,5
2004,2024-06-22,8741,,1
8271,2024-06-22,6294,,5
8457,2024-06-22,2514,,5
4852,2024-06-22,1766,,1
3090,2024-06-22,6577,,1
8345,2024-06-22,1006,,5
1367,2024-06-22,1809,,1
860,2024-06-22,5114,,3
4437,2024-06-22,2036,,1
4838,2024-06-22,4699,,5
3701,2024-06-22,9549,,1
5082,2024-06-22,2980,,1
1380,2024-06-22,7827,,5
2845,2024-06-22,8653,,5
7323,2024-06-22,229,,5
8157,2024-06-22,6330,,1
5291,2024-06-22,2617,,5
3945,2024-06-22,2875,,3
8279,2024-06-22,10197,,1
7791,2024-06-22,7543,,5
3323,2024-06-22,1465,3237,3
1998,2024-06-22,10289,,1
9603,2024-06-22,934,,5
142,2024-06-22,4892,,1
8803,2024-06-22,9718,,1
3924,2024-06-22,11239,,5
9333,2024-06-22,1449,,5
2688,2024-06-22,5530,,1
1440,2024-06-22,5859,,5
9692,2024-06-22,6080,,1
9286,2024-06-22,2569,,1
5224,2024-06-22,5640,,1
5359,2024-06-22,10739,,5
9538,2024-06-22,8397,,1
7685,2024-06-22,5504,,1
9175,2024-06-22,2810,,1
2825,2024-06-22,10261,,1
7633,2024-06-22,9871,,1
9431,2024-06-22,8496,,5
9545,2024-06-22,2796,,1
9470,2024-06-22,6027,,5
2084,2024-06-22,7839,,1
9012,2024-06-22,10526,,5
2151,2024-06-22,3090,,5
1969,2024-06-22,2170,,5
4694,2024-06-22,10023,,1
2883,2024-06-23,1697,,5
9217,2024-06-23,7470,,1
7454,2024-06-23,10820,,5
2753,2024-06-23,4581,,5
8230,2024-06-23,3840,,1
4394,2024-06-23,2684,,1
6056,2024-06-23,10685,,5
8202,2024-06-23,6875,,5
8653,2024-06-23,4139,,3
2714,2024-06-23,1898,,1
1261,2024-06-23,2721,,1
6612,2024-06-23,560,560,3
9325,2024-06-23,166,,5
7408,2024-06-23,3312,,5
9032,2024-06-23,346,,1
9456,2024-06-23,3924,,3
6711,2024-06-23,11879,,3
6780,2024-06-23,543,,5
1319,2024-06-23,10820,,5
6090,2024-06-23,5946,,5
4532,2024-06-23,1991,,3
